,Profil,Czas,Kurs,Zmiana,Zmiana %,Odn.,Otw.,Min.,Max.,Wolumen,Obrót,Udział,1r 3m
0,ACP (ASSECOPOL),10 gru 17:00,86.0,-0.7,(-0.81%),86.7,87.1,86.0,87.7,76 050,6 559 449,1.998%,
1,ALE (ALLEGRO),10 gru 17:03,38.0,-1.16,(-2.96%),39.16,38.845,37.56,38.845,1 593 154,60 676 212,6.1%,
2,CCC,10 gru 17:03,104.1,-0.2,(-0.19%),104.3,104.55,103.55,107.6,111 531,11 861 064,1.636%,
3,CDR (CDPROJEKT),10 gru 17:01,178.54,-1.6,(-0.89%),180.14,179.78,178.06,181.3,147 386,26 399 619,5.241%,
4,CPS (CYFRPLSAT),10 gru 17:00,34.54,-0.24,(-0.69%),34.78,34.88,34.4,34.88,134 130,4 642 950,3.804%,
5,DNP (DINOPL),10 gru 17:04,335.0,-3.2,(-0.95%),338.2,342.0,334.2,342.0,79 989,26 863 617,6.672%,
6,JSW,10 gru 17:04,40.13,-0.55,(-1.35%),40.68,40.68,40.0,41.77,560 860,22 795 003,0.879%,
7,KGH (KGHM),10 gru 17:03,142.25,0.7,(+0.49%),141.55,141.55,140.8,143.15,311 939,44 320 696,8.071%,
8,LPP,10 gru 17:00,17300.0,1600.0,(+10.19%),15700.0,15950.0,15760.0,17770.0,11 805,202 142 320,7.282%,
9,LTS (LOTOS),10 gru 17:03,60.86,1.46,(+2.46%),59.4,59.4,59.14,60.86,73 441,4 433 457,2.191%,
10,MRC (MERCATOR),10 gru 17:02,105.2,-3.3,(-3.04%),108.5,106.3,104.5,107.85,79 404,8 408 994,0.17%,
11,OPL (ORANGEPL),10 gru 17:00,7.8,-0.02,(-0.26%),7.82,7.855,7.735,7.88,733 799,5 723 475,2.1%,
12,PEO (PEKAO),10 gru 17:00,115.0,-1.3,(-1.12%),116.3,115.7,114.2,116.15,105 904,12 214 869,8.437%,
13,PGE,10 gru 17:00,8.1,0.268,(+3.42%),7.832,7.85,7.85,8.188,1 952 460,15 750 934,2.684%,
14,PGN (PGNIG),10 gru 17:02,5.72,-0.058,(-1.00%),5.778,5.774,5.652,5.798,2 995 832,17 071 891,3.865%,
15,PKN (PKNORLEN),10 gru 17:00,73.5,-0.22,(-0.30%),73.72,73.2,73.0,74.5,272 963,20 142 957,8.837%,
16,PKO (PKOBP),10 gru 17:00,43.5,-0.5,(-1.14%),44.0,43.92,43.3,43.92,1 011 085,44 034 367,15.517%,
17,PZU,10 gru 17:00,36.79,-0.29,(-0.78%),37.08,37.06,36.7,37.06,579 358,21 361 163,8.696%,
18,SPL (SANPL),10 gru 17:04,336.8,-4.8,(-1.41%),341.6,337.2,333.5,341.0,26 929,9 074 520,4.666%,
19,TPE (TAURONPE),10 gru 17:02,2.66,0.067,(+2.58%),2.593,2.59,2.574,2.697,2 834 452,7 523 573,1.155%,
